Medal_ID,Race_id,event_title,country_name,value_unit,medal_type
8374,1374,Men's 4 x 100m Freestyle Relay,Japan,03:12.9,BRONZE
8375,1375,Men's 4 x 100m Freestyle Relay,Germany,03:12.9,BRONZE
8376,1376,Men's 4 x 100m Freestyle Relay,Brazil,03:12.9,BRONZE
8377,1377,Women's 4 x 400m Relay,United States of America,03:19.0,GOLD
8378,1378,Women's 4 x 400m Relay,Russian Federation,03:20.2,SILVER
8379,1379,Women's 4 x 400m Relay,Jamaica,03:22.0,BRONZE
8380,1380,Women's 4 x 400m Relay,Great Britain,03:25.1,BRONZE
8381,1381,Women's 4 x 400m Relay,Poland,03:25.2,BRONZE
8382,1382,Women's 4 x 400m Relay,Romania,03:26.8,BRONZE
8383,1383,Women's 4 x 400m Relay,India,03:28.5,BRONZE
8384,1384,Women's 4 x 400m Relay,Greece,03:45.7,BRONZE
8385,1385,Men's 4 x 100m Relay,Great Britain,00:38.1,GOLD
8386,1386,Men's 4 x 100m Relay,United States of America,00:38.1,SILVER
8387,1387,Men's 4 x 100m Relay,Nigeria,00:38.2,BRONZE
8388,1388,Men's 4 x 100m Relay,Japan,00:38.5,BRONZE
8389,1389,Men's 4 x 100m Relay,Poland,00:38.5,BRONZE
8390,1390,Men's 4 x 100m Relay,Australia,00:38.6,BRONZE
8391,1391,Men's 4 x 100m Relay,Trinidad and Tobago,00:38.6,BRONZE
8392,1392,Men's 4 x 100m Relay,Brazil,00:38.7,BRONZE
8393,1393,Men's 4 x 400m Relay,United States of America,02:55.9,GOLD
8394,1394,Men's 4 x 400m Relay,Australia,03:00.6,SILVER
8395,1395,Men's 4 x 400m Relay,Nigeria,03:00.9,BRONZE
8396,1396,Men's 4 x 400m Relay,Japan,03:01.0,BRONZE
8397,1397,Men's 4 x 400m Relay,Great Britain,03:01.1,BRONZE
8398,1398,Men's 4 x 400m Relay,Bahamas,03:01.9,BRONZE
8399,1399,Men's 4 x 400m Relay,Germany,03:02.2,BRONZE
8400,1400,Men's 4 x 400m Relay,Botswana,03:02.5,BRONZE
8401,1401,Women's 4 x 100m Relay,Jamaica,00:41.7,GOLD
8402,1402,Women's 4 x 100m Relay,Russian Federation,00:42.3,SILVER
8403,1403,Women's 4 x 100m Relay,France,00:42.5,BRONZE
8404,1404,Women's 4 x 100m Relay,Bahamas,00:42.7,BRONZE
8405,1405,Women's 4 x 100m Relay,Belarus,00:42.9,BRONZE
8406,1406,Women's 4 x 100m Relay,Belgium,00:43.1,BRONZE
8407,1407,Women's 4 x 100m Relay,Nigeria,00:43.4,BRONZE
8408,1408,Men's 4 x 100m Freestyle Relay,Australia,03:35.9,GOLD
8409,1409,Men's 4 x 100m Freestyle Relay,United States of America,03:36.4,SILVER
8410,1410,Men's 4 x 100m Freestyle Relay,Netherlands,03:37.6,BRONZE
8411,1411,Men's 4 x 100m Freestyle Relay,Germany,03:37.9,BRONZE
