Team_id,discipline_title,event_title,slug_game,country_name
1282,Athletics,Women's 4 x 400m Relay,london-2012,Nigeria
1283,Athletics,Women's 4 x 400m Relay,london-2012,Russian Federation
1284,Athletics,Women's 4 x 400m Relay,london-2012,Turkey
1285,Athletics,Women's 4 x 400m Relay,london-2012,Belarus
1286,Athletics,Women's 4 x 100m Relay,beijing-2008,Belgium
1287,Athletics,Women's 4 x 100m Relay,beijing-2008,Nigeria
1288,Athletics,Women's 4 x 100m Relay,beijing-2008,Brazil
1289,Athletics,Women's 4 x 100m Relay,beijing-2008,Germany
1290,Athletics,Women's 4 x 100m Relay,beijing-2008,Russian Federation
1291,Athletics,Women's 4 x 400m Relay,beijing-2008,United States of America
1292,Athletics,Women's 4 x 400m Relay,beijing-2008,Jamaica
1293,Athletics,Women's 4 x 400m Relay,beijing-2008,Great Britain
1294,Athletics,Women's 4 x 400m Relay,beijing-2008,Cuba
1295,Athletics,Women's 4 x 400m Relay,beijing-2008,Nigeria
1296,Athletics,Women's 4 x 400m Relay,beijing-2008,Germany
1297,Athletics,Women's 4 x 400m Relay,beijing-2008,Russian Federation
1298,Athletics,Women's 4 x 400m Relay,beijing-2008,Belarus
1299,Athletics,Men's 4 x 100m Relay,beijing-2008,Trinidad and Tobago
1300,Athletics,Men's 4 x 100m Relay,beijing-2008,Japan
1301,Athletics,Men's 4 x 100m Relay,beijing-2008,Brazil
1302,Athletics,Men's 4 x 100m Relay,beijing-2008,Germany
1303,Athletics,Men's 4 x 100m Relay,beijing-2008,Canada
1304,Athletics,Men's 4 x 100m Relay,beijing-2008,Jamaica
1305,Athletics,Men's 4 x 400m Relay,beijing-2008,United States of America
1306,Athletics,Men's 4 x 400m Relay,beijing-2008,Bahamas
1307,Athletics,Men's 4 x 400m Relay,beijing-2008,Great Britain
1308,Athletics,Men's 4 x 400m Relay,beijing-2008,Belgium
1309,Athletics,Men's 4 x 400m Relay,beijing-2008,Australia
1310,Athletics,Men's 4 x 400m Relay,beijing-2008,Poland
1311,Athletics,Men's 4 x 400m Relay,beijing-2008,Jamaica
1312,Athletics,Men's 4 x 400m Relay,beijing-2008,Russian Federation
1313,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,United States of America
1314,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Russian Federation
1315,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Australia
1316,Swimming,Men's 4 x 200m Freestyle Relay,beijing-2008,Italy
